feature,value,0,1,2,3,4,5,6
attn_0_0_outputs,0,14.561065,7.2196884,2.2220097,-3.5817063,-8.621964,-13.354748,-16.04737
attn_0_0_outputs,1,8.833384,10.418794,4.085982,-1.7139022,-7.1487274,-12.022485,-14.6297455
attn_0_0_outputs,2,3.437647,4.462248,7.0224376,0.69500273,-4.414912,-9.251489,-11.9858885
attn_0_0_outputs,3,-0.13682601,0.63737375,2.586328,5.1006184,-0.62329495,-5.575136,-7.9353113
attn_0_0_outputs,4,-3.3260849,-2.6614437,-0.6390664,1.1773391,4.9121943,-0.5761296,-3.2198713
attn_0_0_outputs,5,-5.8081226,-5.2736487,-3.1215255,-1.3533741,1.7444836,6.445062,3.0084374
attn_0_0_outputs,6,-7.1287684,-6.6804686,-4.8228517,-2.9228673,0.028006775,3.923864,12.249523
attn_0_0_outputs,</s>,-16.633217,-12.219973,-5.801952,0.10454302,7.1251397,12.594584,13.1689625
attn_0_0_outputs,<pad>,-0.81116,-1.0668321,0.1612129,0.46216545,0.3877552,0.1811681,1.2979045
attn_0_0_outputs,<s>,-17.018831,-12.4015,-7.617814,0.07949466,8.539828,15.67118,14.221887
attn_0_1_outputs,0,13.883005,6.763487,1.2303332,-3.0736473,-7.152164,-11.34713,-17.42416
attn_0_1_outputs,1,7.9095626,10.029864,3.1227145,-1.7850257,-6.1184034,-10.673161,-16.792414
attn_0_1_outputs,2,2.0277762,3.364089,5.9642515,0.60451627,-3.7541878,-8.329425,-14.686396
attn_0_1_outputs,3,-1.7706373,-0.61797917,1.5375872,5.581593,0.6062032,-4.020623,-10.333518
attn_0_1_outputs,4,-5.8180847,-4.4559803,-2.2883642,1.2557541,6.1037188,1.1341293,-5.0274653
attn_0_1_outputs,5,-7.5242734,-6.596376,-4.562674,-1.0996042,3.1539552,8.62793,1.5589617
attn_0_1_outputs,6,-9.291311,-8.126171,-6.000516,-2.6794355,1.3302451,6.283667,11.141006
attn_0_1_outputs,</s>,-16.079794,-10.122972,-5.5478806,-3.8178296,-0.46400717,4.2377934,14.121379
attn_0_1_outputs,<pad>,-1.2185055,0.013746458,-0.24628265,0.19817717,0.016918486,0.14887539,0.600068
attn_0_1_outputs,<s>,-1.2071708,-0.93055946,-0.6286038,-0.49989444,-0.17461504,0.7490998,2.2519157
attn_0_2_outputs,0,9.673643,5.744542,1.1041039,-3.2329986,-6.261155,-9.422883,-12.659824
attn_0_2_outputs,1,3.7274086,7.058976,2.1560278,-1.929206,-5.01239,-7.903533,-10.870955
attn_0_2_outputs,2,1.2653722,3.061291,5.8600717,0.7390097,-3.1795654,-6.7616377,-10.813131
attn_0_2_outputs,3,-2.0479841,-0.36892802,2.1367884,4.374572,0.1486903,-3.51637,-7.3641076
attn_0_2_outputs,4,-4.590311,-2.7230897,-0.32395878,1.7500952,5.175426,0.7419857,-4.4616528
attn_0_2_outputs,5,-6.909229,-4.9389186,-2.573776,-0.43870464,2.621605,6.4631605,1.6609905
attn_0_2_outputs,6,-9.416479,-6.49267,-4.160224,-2.0772445,1.2084454,5.2283645,10.357949
attn_0_2_outputs,</s>,0.29836947,-0.2915504,-0.4841937,-0.33430776,0.7071075,0.82525325,2.3500693
attn_0_2_outputs,<pad>,-0.79681444,-0.7073356,-0.05629808,-0.5469574,-0.14623158,0.81759906,1.011129
attn_0_2_outputs,<s>,-6.297965,-6.556818,-6.4104056,-3.1226187,0.8435113,4.0144553,8.9676
attn_0_3_outputs,0,12.418448,6.4980745,1.0657885,-2.9622407,-6.9879427,-11.925254,-16.777779
attn_0_3_outputs,1,7.225156,8.907831,2.9091544,-1.5910707,-5.9186234,-11.292035,-16.06398
attn_0_3_outputs,2,3.0160887,4.2190986,5.6216135,0.8994079,-3.5646594,-8.675258,-13.863461
attn_0_3_outputs,3,-0.26670212,0.59279054,1.546312,4.1872616,-0.78623533,-5.6344547,-10.55183
attn_0_3_outputs,4,-2.4616764,-1.342368,-0.44774488,1.7983981,4.923344,-0.7842647,-5.9385242
attn_0_3_outputs,5,-5.210536,-4.0727553,-3.2123156,-0.75351775,2.2720013,5.6366315,-0.03144048
attn_0_3_outputs,6,-5.4562807,-4.660892,-3.8361733,-1.4727614,1.3216039,3.773389,7.9343257
attn_0_3_outputs,</s>,-14.835347,-8.119898,-3.8263052,-1.1027026,2.3067172,5.6932497,10.748969
attn_0_3_outputs,<pad>,-0.8289277,-0.6657199,0.074538514,0.25677475,0.3716583,0.67315066,1.4412862
attn_0_3_outputs,<s>,-14.796785,-11.351421,-7.481395,-1.8303678,3.6520274,8.983272,11.781909
attn_1_0_outputs,0,6.6330686,4.1355815,1.5288235,-0.91141576,-2.9765766,-6.0436263,-9.364222
attn_1_0_outputs,1,3.6535587,5.626828,2.4491441,-0.45903388,-3.0294242,-6.353909,-9.601965
attn_1_0_outputs,2,2.4021876,3.707948,4.419671,0.82838273,-2.1106398,-5.5322933,-9.119753
attn_1_0_outputs,3,-0.58521354,1.187365,1.6450475,3.1657162,0.1877753,-3.1724722,-6.576023
attn_1_0_outputs,4,-1.7502924,-0.26816723,0.45218834,1.2397565,3.1366274,-0.92456573,-4.4442053
attn_1_0_outputs,5,0.13703641,-0.9325164,-1.7539477,-1.5412154,-0.2546136,4.1191807,0.4274256
attn_1_0_outputs,6,-4.788762,-4.717044,-4.3444896,-3.3406863,-0.6577772,3.5832126,9.600082
attn_1_0_outputs,</s>,-5.277476,-4.1958675,-2.6685116,-0.7836406,2.1784832,7.281164,9.216224
attn_1_0_outputs,<pad>,-0.63803566,-0.21987012,-0.24019766,0.26385167,-0.38896254,0.32620758,1.5197127
attn_1_0_outputs,<s>,-4.546663,-3.227549,-2.1149752,-0.7195145,1.5800552,4.5097823,8.967233
attn_1_1_outputs,0,10.390462,5.1839414,0.6579541,-2.9454434,-6.142519,-8.726044,-10.535823
attn_1_1_outputs,1,5.529323,7.171996,1.8675405,-1.7931749,-4.784422,-7.266146,-9.07295
attn_1_1_outputs,2,1.866251,2.5980911,4.4535475,0.5092298,-2.5955932,-5.26808,-6.770738
attn_1_1_outputs,3,-1.0542133,0.15613067,1.1298178,3.1189911,-0.30074236,-3.0364523,-4.7982206
attn_1_1_outputs,4,-2.7471113,-2.1081133,-1.053668,0.63900363,3.2102168,0.29841968,-1.3418534
attn_1_1_outputs,5,-4.561831,-3.746773,-2.633655,-0.9169267,1.5245079,4.9425287,2.4401608
attn_1_1_outputs,6,-6.4046464,-5.133992,-4.017923,-2.2075014,-0.07672035,2.9102373,7.566607
attn_1_1_outputs,</s>,-8.136189,-5.589906,-2.7821858,0.38640976,3.7683792,7.3879633,11.500191
attn_1_1_outputs,<pad>,-0.7517129,0.048374906,-0.01604169,-0.62134326,0.10148116,0.200696,1.5538652
attn_1_1_outputs,<s>,-5.1583676,-4.2714243,-2.575883,0.20073187,3.1347415,6.6232095,5.879484
attn_1_2_outputs,0,12.490973,6.438457,1.4426203,-2.9964943,-6.3199477,-9.382747,-12.024089
attn_1_2_outputs,1,6.3112226,8.42381,2.9185817,-1.5589646,-4.9318657,-7.8351493,-10.749854
attn_1_2_outputs,2,1.7716389,2.9470036,4.7725406,0.10072479,-3.2230144,-6.234048,-8.964961
attn_1_2_outputs,3,-0.31091973,0.5014006,1.668553,3.6386967,-0.21135086,-3.0596983,-5.8187194
attn_1_2_outputs,4,-3.4392397,-2.4774668,-1.1912314,0.45580688,4.011953,0.7089228,-2.257202
attn_1_2_outputs,5,-5.944372,-4.8716383,-3.4064553,-1.6200765,1.6832901,6.986086,3.400859
attn_1_2_outputs,6,-7.5016494,-6.4450235,-5.0797167,-3.4389212,-0.3760352,4.4570665,11.681077
attn_1_2_outputs,</s>,-7.219808,-4.087764,-1.3673607,1.3012662,4.832221,7.205869,6.753371
attn_1_2_outputs,<pad>,-0.6524017,-0.6249423,-0.17047246,-0.5168032,0.44138116,0.939736,1.3421346
attn_1_2_outputs,<s>,-5.2657604,-3.3557072,-1.9539177,-0.49195546,1.9492375,5.3675947,10.163192
attn_1_3_outputs,0,8.352733,1.5917982,-0.78299016,-1.7518064,-2.6282961,-3.5269864,-14.326881
attn_1_3_outputs,1,4.4248457,0.76906264,0.46967936,0.175855,-0.64532924,-1.5793328,-4.76759
attn_1_3_outputs,2,1.4647721,0.48311695,0.3977126,0.22971867,-0.28951198,-0.6398184,-2.1657085
attn_1_3_outputs,3,3.229687,0.82844716,0.061336122,0.2649429,-0.029145148,-0.45640433,-4.5290775
attn_1_3_outputs,4,3.25317,1.7544852,0.54635715,0.44849408,0.4661134,0.7068264,-6.1940465
attn_1_3_outputs,5,-4.5587034,-1.8296828,-0.6842216,0.07219574,0.40432215,1.0693178,3.4746814
attn_1_3_outputs,6,-19.87488,-5.331487,-3.8188496,-2.6489313,-1.584727,-0.2590901,13.941496
attn_1_3_outputs,</s>,0.33475178,0.30522314,0.21058495,0.31472203,0.17231543,0.15312676,-0.46771383
attn_1_3_outputs,<pad>,-1.2957388,-0.334293,-0.26782992,0.28184274,0.3120114,0.60595864,1.1431377
attn_1_3_outputs,<s>,-12.522671,2.3971431,2.5473819,2.7066958,2.5983124,2.4159925,-7.9861712
mlp_0_0_outputs,0,-2.040247,0.25325745,0.5304549,0.47416317,0.1276525,0.070674755,0.36425522
mlp_0_0_outputs,1,0.78352207,2.6851232,3.4200058,2.295552,-0.65369105,-5.3158197,-13.533932
mlp_0_0_outputs,2,-0.037045363,-0.03274762,0.12916483,-0.01409692,-0.15276298,-0.5012856,0.21781473
mlp_0_0_outputs,3,-25.799988,-16.486727,-8.692006,-2.8567915,2.3534455,7.696878,9.957656
mlp_0_0_outputs,4,-1.5991843,-0.15724911,2.6859622,3.1463573,2.277309,0.9206535,-1.8379259
mlp_0_0_outputs,5,-0.36808914,0.44683066,-0.10406868,-0.33015323,-0.1041363,-0.17934525,-0.20996082
mlp_0_0_outputs,6,11.893075,8.013787,1.5148585,-4.9560094,-13.349498,-26.217127,-33.937115
mlp_0_0_outputs,7,-16.410816,-8.901024,-3.9117718,-0.55600595,2.33314,5.955153,6.65108
mlp_0_0_outputs,8,1.0315855,0.32493627,-0.14048995,-0.07848362,-0.51796204,-0.97015524,-0.6349032
mlp_0_0_outputs,9,-0.48387635,2.4537978,3.0566645,2.1020696,0.06487649,-3.9755971,-7.1604633
mlp_1_0_outputs,0,-0.324345,0.55013436,0.3277283,0.26189533,0.42841303,-0.17540324,0.13987955
mlp_1_0_outputs,1,-0.9136108,-0.10660877,0.40409842,1.3851557,0.62452877,2.0020278,1.4582529
mlp_1_0_outputs,2,9.582804,5.502949,8.638628,4.403445,-7.2945538,-20.919321,-30.23232
mlp_1_0_outputs,3,4.0696754,3.53522,-1.0761319,-2.5604622,-6.153049,-11.309804,-10.5357685
mlp_1_0_outputs,4,-0.18434304,2.4518654,3.1010098,3.5832748,1.2182695,-4.234154,-14.669196
mlp_1_0_outputs,5,-0.18212554,1.6612343,0.09870922,0.56242985,-0.4618323,-0.13437144,-0.70423967
mlp_1_0_outputs,6,-21.692167,-13.026346,-4.4663,0.110013984,1.6808074,3.898383,4.0483265
mlp_1_0_outputs,7,-10.232316,-5.266715,-2.588575,0.21410522,1.1488626,2.990365,2.975479
mlp_1_0_outputs,8,-2.9550254,0.4373971,2.6699815,4.064555,2.3223872,-3.6124709,-4.0334315
mlp_1_0_outputs,9,-28.6759,-20.31288,-10.316886,-3.1600678,2.2527142,5.835563,5.5263276
ones,_,-0.69847363,0.08606804,-0.6315554,0.23441038,-0.13500544,-0.38753608,-0.20508964
positions,0,0.17594515,0.68248105,0.2998955,-0.1273012,-0.23895603,-0.090430036,0.46331057
positions,1,10.407366,6.756203,-1.0396688,-7.559368,-10.716489,-12.606175,-18.49022
positions,2,8.350609,9.874507,6.739458,-1.9527574,-11.983999,-20.15382,-16.31657
positions,3,-6.2898827,2.1849294,6.493753,4.5209646,0.36758244,-6.0956817,-7.0322747
positions,4,-25.871784,-10.339243,0.9609696,5.157895,6.4877844,2.7771602,3.456786
positions,5,-14.064954,-17.848215,-5.9056134,1.7627215,7.808794,12.197478,0.776968
positions,6,-17.997217,-20.075983,-6.951059,1.8363796,8.706939,11.545689,-0.6173659
positions,7,-16.878033,-30.408888,-19.161303,-7.52864,2.7992435,12.816751,10.579842
positions,8,-41.266,-55.31982,-44.796032,-26.061886,-6.536515,15.021346,31.552597
positions,9,0.33595657,-0.3949038,0.38425443,0.15447856,-0.05151967,0.26050615,0.50201994
tokens,0,13.23761,6.404968,1.7242866,-2.4130578,-5.890274,-9.634118,-11.125092
tokens,1,6.798869,9.016199,2.8201408,-1.8087564,-5.699362,-9.65684,-11.683736
tokens,2,1.0266746,2.7116575,6.2247095,1.279159,-2.5719464,-6.5748773,-8.493424
tokens,3,-3.2390661,-1.735824,0.90181756,5.105708,0.8273161,-3.1413743,-4.8972096
tokens,4,-7.4199886,-5.67091,-2.82108,0.97685546,6.490592,2.0809321,0.1055903
tokens,5,-10.028454,-8.390058,-5.8086834,-2.050373,2.958967,9.212168,6.4814415
tokens,6,-11.285949,-9.791127,-7.4157877,-3.96569,0.7583236,6.352284,15.576334
tokens,</s>,-0.18716116,-0.03476701,-0.11745687,0.80728775,0.47168696,-0.31577095,-0.29646632
tokens,<pad>,-0.47725874,0.7218229,0.30648422,0.1587088,0.36368746,-0.32027605,0.16315788
tokens,<s>,0.45828268,0.09639821,0.30935347,-0.22206832,0.49352598,0.3616221,-1.0609835
